billId,pdfURL,topics,voted,text,status,IN_FAVOR,AGAINST,ABSTENTION,ABSENCES
3217,null,null,Jueves 15 de noviembre de 2018,4 Dictámenes de la Comisión de Marina:,Votado en el senado,1064|1209|1081|1203|1225|1111|1131|1155|1285|1260|1292|1265|1077|1189|1093|1048|1184|1215|1071|1123|1119|1179|1054|1197|1052|1157|1066|1272|1177|1191|1195|1147|1083|1262|1173|1201|1290|1143|1125|1281|1095|1085|1046|1149|1079|1207|1165|1151|1145|1161|1267|1050|1246|1221|1075|1240|1044|1284|1087|1279|1171|1193|1117|1115|1287|1271|1035|1105|1236|1282|1248|1163|1223|1159|1137|1175|1256|1060|1089|1258|1219|1167|1073|1133|1139|1098|1068|1217|1103|1205|1181|1288|1242|1254|1250|1037|1058|1107|1109|1276|1062|1187|1056|1097|1091|1274|1273|1238|1199|1169|1183|1263|1129|1244|,null|,null,null
3203,null,null,Jueves 18 de octubre de 2018,Punto de acuerdo que exhorta al Presidente de la República a revocar los 10 decretos de levantamiento de veda en diversas cuencas hidrológicas del país; así como para que el titular dela Comisión Nacional del Agua suspenda cualquier acción tendiente al otorgamiento de concesiones de agua relacionadas con dichos decretos; además de citar a comparecer a los titulares de Secretaría de Medio Ambiente y Recursos Naturales y de la Comisión Nacional del Agua.,Votado en el senado,1064|1081|1203|1155|1285|1077|1123|1119|1179|1197|1157|1066|1121|1272|1177|1191|1113|1125|1281|1095|1046|1149|1165|1151|1145|1050|1221|1279|1127|1193|1287|1271|1035|1105|1236|1211|1223|1137|1060|1167|1073|1133|1139|1098|1068|1205|1181|1288|1037|1107|1109|1062|1056|1097|1091|1273|1169|,null|,1111|1153|1215|1195|1147|1262|1173|1135|1039|1161|1267|1246|1044|1117|1248|1163|1159|1141|1256|1213|1254|1058|1183|1263|1244|,null
3202,null,null,Jueves 04 de octubre de 2018,Minuta con proyecto de decreto que reforma los artículos 39 y 43 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos.,Votado en el senado,1064|1209|1203|1111|1131|1155|1285|1260|1292|1265|1077|1093|1101|1153|1048|1215|1071|1123|1119|1179|1054|1197|1052|1157|1066|1177|1191|1195|1147|1173|1113|1201|1135|1290|1039|1125|1095|1085|1046|1207|1165|1151|1161|1050|1246|1221|1075|1240|1044|1284|1087|1127|1171|1117|1115|1287|1271|1236|1282|1248|1268|1163|1211|1223|1159|1137|1175|1141|1256|1060|1089|1258|1219|1167|1139|1098|1068|1217|1213|1103|1205|1181|1288|1242|1254|1058|1109|1276|1062|1187|1056|1097|1091|1238|1199|1169|1183|1263|1129|1244|,1081|,1225|1267|,null
3216,null,null,Jueves 15 de noviembre de 2018,Dictamen de la Comisión de Defensa Nacional; el que contiene puntos de acuerdo por los que se ratifican 186 grados de personal militar; y acuerda posponer la ratificación del nombramiento del ciudadano José Luis Sánchez León.,Votado en el senado,1064|1209|1203|1225|1111|1131|1155|1285|1260|1265|1077|1189|1093|1048|1184|1215|1071|1123|1119|1179|1054|1197|1052|1157|1066|1272|1191|1195|1147|1083|1262|1173|1201|1135|1290|1143|1039|1125|1281|1095|1085|1046|1149|1207|1165|1151|1145|1161|1267|1050|1246|1221|1075|1240|1044|1087|1171|1193|1117|1115|1287|1271|1035|1105|1236|1248|1163|1223|1159|1137|1175|1256|1060|1089|1258|1219|1167|1073|1133|1139|1098|1068|1217|1103|1205|1181|1288|1242|1254|1250|1037|1058|1107|1109|1276|1062|1056|1097|1091|1274|1273|1238|1199|1169|1183|1263|1129|1244|,null|,1081,null
3200,null,null,Jueves 13 de septiembre de 2018,Punto de acuerdo que exhorta al Ejecutivo Federal; a la Secretaría de Educación Pública y al Instituto Nacional para la Evaluación de la Educación a suspender la evaluación docente programada del 3 al 25 de noviembre del presente año; así como todo proceso de evaluación para el ingreso; promoción; reconocimiento y permanencia de las y los maestros.,Votado en el senado,1064|1209|1203|1131|1155|1285|1292|1265|1077|1071|1123|1197|1157|1066|1177|1191|1083|1113|1125|1281|1095|1085|1046|1149|1079|1165|1151|1050|1221|1284|1127|1193|1115|1287|1035|1105|1236|1282|1211|1223|1137|1060|1089|1073|1133|1139|1068|1205|1181|1288|1037|1109|1062|1091|1274|1273|1199|1169|,1260|1101|1215|1052|1195|1147|1262|1173|1201|1039|1207|1161|1267|1246|1075|1042|1044|1171|1117|1248|1163|1159|1141|1256|1217|1213|1103|1242|1254|1187|1238|1183|1244|,1081|1093|1119|1121|1272|1135|1143|1145|1240|1271|1263|1129|,null
3214,null,null,Martes 13 de noviembre de 2018,Dictamen de las Comisiones Unidas de Relaciones Exteriores Asia-Pacífico-África; de Relaciones Exteriores; y de Comunicaciones y Transportes; el que contiene proyecto de decreto por el que se aprueba el Acuerdo sobre Servicios Aéreos entre el Gobierno de los Estados Unidos Mexicanos y el Gobierno del Estado de Qatar; firmado en la Ciudad de México; el veinticuatro de noviembre de dos mil quince.,Votado en el senado,1064|1081|1203|1225|1111|1155|1285|1260|1292|1265|1077|1189|1093|1101|1153|1048|1184|1215|1071|1119|1069|1179|1054|1197|1052|1157|1066|1272|1191|1195|1147|1083|1262|1173|1113|1201|1135|1143|1039|1125|1095|1046|1079|1207|1165|1151|1161|1267|1050|1246|1075|1240|1044|1087|1279|1127|1171|1193|1117|1287|1271|1035|1105|1236|1282|1248|1268|1163|1211|1137|1175|1141|1060|1089|1258|1219|1167|1133|1139|1098|1217|1103|1205|1181|1288|1242|1254|1250|1037|1058|1107|1276|1062|1056|1097|1091|1274|1273|1238|1199|1169|1183|1263|1129|1244|,null|,null|,null
3215,null,null,Martes 13 de noviembre de 2018,Acuerdo de la Junta de Coordinación Política por el que se propone al pleno del Senado de la República el Nombramiento de los Magistrados Electorales Locales.,Votado en el senado,1064|1209|1203|1225|1111|1131|1155|1292|1077|1189|1093|1101|1153|1184|1215|1071|1119|1069|1179|1054|1197|1052|1272|1177|1191|1195|1147|1083|1262|1113|1201|1135|1039|1125|1281|1095|1085|1046|1149|1079|1207|1145|1161|1267|1246|1221|1075|1240|1044|1284|1087|1127|1171|1193|1117|1115|1287|1271|1035|1105|1236|1248|1268|1163|1211|1223|1159|1137|1175|1141|1256|1060|1089|1219|1167|1073|1098|1068|1217|1103|1205|1181|1242|1254|1037|1058|1107|1276|1062|1187|1056|1097|1091|1274|1273|1238|1199|1169|1183|1263|1129|1244|,1081|1265|1157|1050|1139|,1285|1066|1282|1288|,null
3201,null,null,Jueves 20 de septiembre de 2018,Convenio 98 de la Conferencia Internacional del Trabajo; relativo a la Aplicación de los Principios del Derecho de Sindicación y de Negociación Colectiva; adoptado en Ginebra; el 1º de julio de 1949.,Votado en el senado,1064|1252|1209|1081|1203|1225|1111|1131|1155|1285|1292|1077|1153|1215|1071|1123|1119|1179|1054|1197|1157|1066|1121|1177|1135|1039|1125|1281|1095|1085|1046|1149|1079|1165|1151|1145|1050|1221|1240|1284|1087|1127|1193|1287|1271|1035|1105|1236|1282|1268|1211|1223|1137|1060|1089|1258|1167|1073|1133|1139|1068|1217|1205|1181|1288|1250|1037|1109|1062|1056|1097|1091|1274|1273|1169|1183|1263|1129|,null|,null,null
3205,null,null,Jueves 18 de octubre de 2018,Punto de acuerdo que exhorta al Presidente de la República a revocar los 10 decretos de levantamiento de veda en diversas cuencas hidrológicas del país; así como para que el titular dela Comisión Nacional del Agua suspenda cualquier acción tendiente al otorgamiento de concesiones de agua relacionadas con dichos decretos; además de citar a comparecer a los titulares de Secretaría de Medio Ambiente y Recursos Naturales y de la Comisión Nacional del Agua.,Votado en el senado,1064|1081|1203|1225|1111|1155|1285|1260|1292|1077|1153|1215|1123|1119|1179|1197|1157|1066|1121|1272|1177|1191|1195|1147|1262|1173|1113|1201|1135|1039|1125|1281|1095|1046|1149|1207|1165|1151|1145|1161|1267|1050|1246|1221|1044|1127|1193|1117|1287|1271|1035|1105|1236|1248|1163|1211|1223|1159|1137|1141|1256|1060|1167|1073|1133|1139|1098|1068|1217|1213|1205|1181|1288|1254|1037|1058|1107|1109|1062|1056|1097|1091|1273|1169|1183|1263|1244|,null|,null|,null
3211,null,null,Martes 06 de noviembre de 2018,Dictamen de las Comisiones Unidas de Hacienda y Crédito Público y de Estudios Legislativos Segunda; el que contiene proyecto de decreto por el que se reforma el artículo 199 de la Ley del Mercado de Valores.,Votado en el senado,1064|1209|1081|1203|1225|1111|1155|1285|1260|1292|1265|1077|1189|1093|1101|1153|1048|1215|1071|1119|1069|1179|1054|1197|1052|1157|1066|1121|1272|1191|1195|1147|1083|1262|1173|1113|1135|1143|1039|1125|1281|1095|1085|1046|1149|1079|1207|1165|1151|1145|1161|1267|1221|1075|1240|1044|1284|1087|1279|1171|1117|1287|1271|1035|1105|1236|1248|1268|1163|1211|1223|1159|1137|1175|1141|1256|1060|1089|1219|1167|1133|1139|1098|1068|1217|1213|1205|1181|1288|1242|1250|1037|1058|1109|1276|1062|1056|1097|1091|1274|1273|1238|1199|1169|1183|1263|1129|1244|,null|,null,null
